,SS,Blackspruce_150,BlackspruceMixCD_150,BlackspruceMixDC_150,Bog_150,Fen_150,GrassHerb_150,Jackpine_150,JackpineMixC_150,JackpineMixCD_150,JackpineMixWet_150,Shrub_150,Swamp_150,Tamarack_150,TamarackMixCD_150,TamarackMixDC_150,Tremblingaspen_150,TremblingaspenMixCD_150,TremblingaspenMixD_150,TremblingaspenMixDC_150,Water_150,Whitebirch_150,WhitebirchMixD_150,WhitebirchMixDC_150,Whitespruce_150,WhitespruceMixC_150,WhitespruceMixCD_150,WhitespruceMixWet_150,wtage_150
83,BG_15_85,14765.30392,14090.24254,0,0,0,0,0,0,0,20095.02946,5036.090167,0,14938.69442,0,0,0,0,0,0,1451.671291,0,0,0,0,0,0,302.685242,90.4516129
84,BG_15_86,5203.081802,724.7874453,0,0,0,0,0,0,0,0,30851.10233,0,33258.18332,0,0,28.13448136,0,0,0,614.7779979,0,0,0,0,0,0,0,96.64705882
85,BG_15_87,12.83056239,42741.7482,0,0,0,0,0,0,0,0,0,0,0,0,0,11280.91815,0,0,16644.6836,0,0,0,0,0,0,0,0,96.89473684
86,BG_15_88,31279.81278,0,0,0,0,0,13639.34419,0,0,15376.63525,0,0,0,0,0,10383.61188,0,0,0,0,0,0,0,0,0,0,0,90.42857143
87,BG_15_89,69985.36444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694.6872971,0,0,0,0,94.64102564
88,BG_15_9,21980.51019,0,0,0,0,0,28624.77794,0,0,20074.64239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.15625
89,BG_15_90,64224.3224,0,0,0,0,0,920.2778134,0,0,3902.84157,0,0,0,0,0,1632.675262,0,0,0,0,0,0,0,0,0,0,0,91.85714286
90,BG_15_91,70680.27812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.3333333
91,BG_15_92,5684.334713,0,0,0,0,0,0,0,19908.97029,0,0,0,0,0,0,22740.39165,0,0,0,0,0,0,0,22345.72689,0,0,0,121.5
92,BG_15_93,55550.98191,7844.288671,0,0,395.2799776,0,0,260.7224823,3361.197946,0,0,3267.452792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.6666667
93,BG_15_94,11458.17431,0,0,0,0,0,17713.51973,0,0,0,0,0,0,0,0,0,0,0,0,41510.12188,0,0,0,0,0,0,0,84.17241379
94,BG_15_95,0,0,0,0,0,0,0,0,0,0,11170.08764,0,0,0,0,0,0,0,0,45564.45221,5081.071581,0,0,8864.942722,0,0,0,121.2222222
95,BG_15_96,22310.56374,0,0,0,0,0,0,0,22380.94375,0,0,0,0,0,0,0,0,0,16806.28048,9182.639922,0,0,0,0,0,0,0,95.4
96,BG_15_97,10389.12771,29710.6881,0,0,0,0,0,0,2375.542215,0,0,0,0,0,0,28009.43167,0,0,193.898192,0,0,0,0,0,0,0,0,106.7777778
97,BG_15_98,20727.12881,33055.82458,0,0,0,0,0,0,0,0,0,0,0,0,0,16896.37357,0,0,0,0,0,0,0,0,0,0,0,83.375
98,BG_15_99,46173.65592,0,0,0,0,0,9389.679121,0,0,13541.02067,0,0,0,0,0,1576.315056,0,0,0,0,0,0,0,0,0,0,0,99.52631579
