55,71,2,3,7,8,9,10,11,12,14,18,19,20,21,22,24,27,28,29,30,31,32,33,35,38,39,40,41,42,43,44,45,46,49,50,51,52,53,54,56,57,60,61,62,63,64,65,66,67,68,71,72,73,74,75,76,77,78,82,83,84,85,86,87,88,89,93,94,95,96,97,98,,,,,,,,,,,,,,,,,,,,,,,,,
56,62,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,54,55,57,61,62,63,64,65,67,77,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,61,2,3,8,9,10,11,12,14,19,20,21,22,24,28,29,30,31,32,33,35,39,40,41,42,43,44,46,50,51,52,53,54,55,56,61,62,63,64,65,66,67,68,72,73,74,75,76,77,78,83,84,85,86,87,88,89,94,95,96,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,1,4,5,6,7,8,13,15,16,17,18,19,23,25,26,27,28,29,30,36,37,38,39,40,41,42,47,48,49,50,51,52,53,59,60,61,62,63,64,69,70,71,72,73,74,79,80,81,82,83,84,85,90,91,92,93,94,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,69,1,4,5,6,7,8,9,13,15,16,17,18,19,20,23,25,26,27,28,29,30,31,34,36,37,38,39,40,41,42,43,45,47,48,49,50,51,52,53,54,58,60,61,62,63,64,65,69,70,71,72,73,74,75,79,80,81,82,83,84,85,86,90,91,92,93,94,95,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,78,1,4,5,6,7,8,9,10,13,15,16,17,18,19,20,21,23,25,26,27,28,29,30,31,32,34,36,37,38,39,40,41,42,43,44,45,47,48,49,50,51,52,53,54,55,58,59,61,62,63,64,65,66,69,70,71,72,73,74,75,76,79,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,,,,,,,,,,,,,,,,,,
61,87,4,5,6,7,8,9,10,11,13,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,62,63,64,65,66,68,69,70,71,72,73,74,75,76,78,79,80,81,82,83,84,85,86,87,89,90,91,92,93,94,95,96,97,98,,,,,,,,,
62,91,3,4,5,6,7,8,9,10,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,76,78,79,80,81,82,83,84,85,86,87,89,90,91,92,93,94,95,96,97,98,,,,,
63,91,3,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,89,90,91,92,93,94,95,96,97,98,,,,,
64,87,3,6,7,8,9,10,11,12,14,16,17,18,19,20,21,22,24,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,91,92,93,94,95,96,97,98,,,,,,,,,
